"hide";"cieId";"descripcion";"descripcionOriginal";"sinonimos";"especialidad";"subespecialidad"
"";"17";"OTROS PROCEDIMIENTOS DIVERSOS";"";"";"UNIVERSAL";""
"";"48";"OPERACIONES SOBRE RECTO, RECTOSIGMOIDE Y TEJIDO PERIRRECTAL";"";"";"CIRGEN";"COLOPROCTOLOGIA"
"";"62";"OPERACIONES SOBRE TESTICULOS";"";"";"UROLOGIA";""
"";"85";"OPERACIONES SOBRE LA MAMA";"";"";"CIRGEN, GINECOLOGIA";""
"";"86";"OPERACIONES SOBRE PIEL Y TEJIDO SUBCUTANEO";"";"";"CIRGEN, DERMATOLOGIA";""
"";"100";"DAMAGE CONTROL";"";"LAPAROTOMIA DE CONTROL DE DAÑOS";"CIRGEN";"URGENCIAS"
"";"17361";"SIGMOIDECTOMIA LAPAROSCOPICA CON COLOSTOMIA";"";"HARTMANN LAPAROSCOPICO";"CIRGEN";"COLOPROCTOLOGIA"
"";"45721";"CECECTOMIA CONVERTIDA";"CECECTOMIA ABIERTA Y OTRAS";"";"CIRGEN";"COLOPROCTOLOGIA"
"";"45731";"HEMICOLECTOMIA DERECHA CONVERTIDA";"HEMICOLECTOMIA DERECHA ABIERTA Y OTRAS";"";"CIRGEN";"COLOPROCTOLOGIA"
"";"45741";"RESECCION DE COLON TRANSVERSO CONVERTIDA";"RESECCION DE COLON TRANSVERSO ABIERTA Y OTRAS";"";"CIRGEN";"COLOPROCTOLOGIA"
"";"45751";"HEMICOLECTOMIA IZQUIERDA CONVERTIDA";"HEMICOLECTOMIA IZQUIERDA ABIERTA Y OTRAS";"";"CIRGEN";"COLOPROCTOLOGIA"
"";"45761";"SIGMOIDECTOMIA CONVERTIDA";"SIGMOIDECTOMIA";"";"CIRGEN";"COLOPROCTOLOGIA"
"";"45762";"SIGMOIDECTOMIA CON COLOSTOMIA";"";"HARTMANN";"CIRGEN";"COLOPROCTOLOGIA"
"";"48611";"RESECCION ANTERIOR ALTA DE RECTO LAPAROSCOPICA";"";"RAA";"CIRGEN";"COLOPROCTOLOGIA"
"";"48621";"RESECCION ANTERIOR BAJA DE RECTO LAPAROSCOPICA";"";"RAB";"CIRGEN";"COLOPROCTOLOGIA"
"";"48631";"RESECCION ANTERIOR ULTRABAJA DE RECTO LAPAROSCOPICA";"";"RAuB";"CIRGEN";"COLOPROCTOLOGIA"
"";"00.0";"ULTRASONIDO TERAPEUTICO";"ULTRASONIDO TERAPEUTICO";"";"RADIOLOGIA";""
"";"00.01";"ULTRASONIDO TERAPEUTICO DE VASOS DE CABEZA Y CUELLO";"ULTRASONIDO TERAPEUTICO DE VASOS DE CABEZA Y CUELLO";"";"RADIOLOGIA";""
"";"00.02";"ULTRASONIDO TERAPEUTICO CARDIACO";"ULTRASONIDO TERAPEUTICO CARDIACO";"";"RADIOLOGIA";""
"";"00.03";"ULTRASONIDO TERAPEUTICO DE VASOS PERIFERICOS";"ULTRASONIDO TERAPEUTICO DE VASOS PERIFERICOS";"";"RADIOLOGIA";""
"";"00.09";"OTRO ULTRASONIDO TERAPEUTICO";"OTRO ULTRASONIDO TERAPEUTICO";"";"RADIOLOGIA";""
"";"00.1";"PROCEDIMIENTOS CON FARMACOS";"PROCEDIMIENTOS CON FARMACOS";"";"UNIVERSAL";""
"";"00.10";"IMPLANTACION DE ANTINEOPLASICO";"IMPLANTACION DE ANTINEOPLASICO";"";"UNIVERSAL";""
"";"00.11";"INFUSION DE DROTRECOGIN ALFA (ACTIVADA)";"INFUSION DE DROTRECOGIN ALFA (ACTIVADA)";"";"UNIVERSAL";""
"";"00.12";"ADMINISTRACION DE OXIDO NITRICO INHALADO";"ADMINISTRACION DE OXIDO NITRICO INHALADO";"";"UNIVERSAL";""
"";"00.13";"INYECCION O INFUSION DE NESIRITIDE";"INYECCION O INFUSION DE NESIRITIDE";"";"UNIVERSAL";""
"";"00.14";"INYECCION O INFUSION DE ANTIBIOTICOS DEL GRUPO DE LA OXAZOLIDINONA";"INYECCION O INFUSION DE ANTIBIOTICOS DEL GRUPO DE LA OXAZOLIDINONA";"";"UNIVERSAL";""
"";"00.15";"INFUSION DE DOSIS ALTA DE INTERLEUCINA 2 [IL 2]";"INFUSION DE DOSIS ALTA DE INTERLEUCINA 2 [IL 2]";"";"UNIVERSAL";""
"";"00.16";"TRATAMIENTO PRESURIZADO DE INJERTO DE DERIVACION VENOSO (CONDUCTO) CON SUSTANCIA MEDICAMENTOSA";"TRATAMIENTO PRESURIZADO DE INJERTO DE DERIVACION VENOSO (CONDUCTO) CON SUSTANCIA MEDICAMENTOSA";"";"UNIVERSAL";""
"";"00.17";"INFUSION DE AGENTE VASOPRESOR";"INFUSION DE AGENTE VASOPRESOR";"";"UNIVERSAL";""
"";"00.18";"TERAPIA DE INFUSION DE ANTICUERPOS INMUNOSUPRESORES";"TERAPIA DE INFUSION DE ANTICUERPOS INMUNOSUPRESORES";"";"UNIVERSAL";""
"";"00.19";"PERTURBACION DE LA BARRERA HEMATOENCEFALICA VIA INFUSION [BBBD]";"PERTURBACION DE LA BARRERA HEMATOENCEFALICA VIA INFUSION [BBBD]";"";"UNIVERSAL";""
"";"00.2";"IMAGEN INTRAVASCULAR DE VASOS SANGUINEOS";"IMAGEN INTRAVASCULAR DE VASOS SANGUINEOS";"";"RADIOLOGIA, CARDIOVASCULAR";""
"";"00.21";"IMAGEN INTRAVASCULAR DE VASOS CEREBRALES EXTRACRANEALES";"IMAGEN INTRAVASCULAR DE VASOS CEREBRALES EXTRACRANEALES";"";"RADIOLOGIA, CARDIOVASCULAR";""
"";"00.22";"IMAGEN INTRAVASCULAR DE VASOS INTRATORACICOS";"IMAGEN INTRAVASCULAR DE VASOS INTRATORACICOS";"";"RADIOLOGIA, CARDIOVASCULAR";""
